Gene	IPA_BP
AC018804.7	0.00
AC018816.3	0.00
AC018867.1	0.00
AC018878.3	0.00
AC018880.1	0.00
AC018880.2	0.00
AC018890.6	0.00
AC018892.3	0.00
AC018892.9	0.00
AC019048.1	0.00
AC019050.1	0.00
AC019068.2	0.00
AC019070.1	0.00
AC019080.1	0.00
AC019084.7	0.00
AC019097.7	0.00
AC019100.3	0.00
AC019100.7	0.00
AC019109.1	0.00
AC019129.1	0.00
AC019129.2	0.00
AC019171.1	0.00
AC019178.2	0.00
AC019181.2	0.00
AC019181.3	0.00
AC019221.4	0.00
AC019294.1	0.00
AC019349.5	0.00
AC020571.3	0.00
AC020594.5	0.00
AC020629.1	0.00
AC020663.1	0.00
AC020743.2	0.00
AC020907.1	0.00
AC020907.2	0.00
AC020910.2	0.00
AC020915.2	0.00
AC020922.1	0.00
AC020947.2	0.00
AC020952.1	0.00
AC020983.5	0.00
AC021016.6	0.00
AC021016.7	0.00
AC021016.8	0.00
AC021021.1	0.00
AC021106.1	0.00
AC021188.4	0.00
AC021218.2	0.00
AC021860.1	0.00
AC022153.1	0.00
AC022154.7	0.00
AC022173.2	0.00
AC022182.2	0.00
AC022201.4	0.00
AC022201.5	0.00
AC022210.1	0.00
AC022210.2	0.00
AC022431.1	0.00
AC022431.2	0.00
AC022498.1	0.00
AC022532.1	0.00
AC022596.2	0.00
AC022819.2	0.00
AC023128.2	0.00
AC023271.1	0.00
AC023271.2	0.00
AC023347.2	0.00
AC023449.2	0.00
AC023469.1	0.00
AC023469.2	0.00
AC023590.1	0.00
AC023632.1	0.00
AC023669.2	0.00
AC023672.1	0.00
AC024082.3	0.00
AC024082.4	0.00
AC024162.2	0.00
AC024560.3	0.00
AC024592.12	0.00
AC024592.9	0.00
AC024937.2	0.00
AC024937.4	0.00
AC024937.6	0.00
AC025165.8	0.00
AC025171.1	0.00
AC025263.3	0.00
AC025278.1	0.00
AC025287.1	0.00
AC025335.1	0.00
AC025627.4	0.00
AC025627.7	0.00
AC025750.5	0.00
AC025750.6	0.00
AC025750.7	0.00
AC025811.1	0.00
AC025811.2	0.00
AC025918.2	0.00
AC026202.3	0.00
AC026214.2	0.00
AC026310.1	0.00
AC026407.1	0.00
AC026461.1	0.00
AC026703.1	0.00
AC026882.1	0.00
AC026954.6	0.00
AC027124.2	0.00
AC027124.3	0.00
AC027228.1	0.00
AC027307.3	0.00
AC027309.1	0.00
AC027601.1	0.00
AC027763.2	0.00
AC032027.1	0.00
AC034102.1	0.00
AC034220.3	0.00
AC034228.2	0.00
AC034228.3	0.00
AC034228.4	0.00
AC034228.7	0.00
AC034229.1	0.00
AC034243.1	0.00
AC037199.1	0.00
AC037445.1	0.00
AC037459.4	0.00
AC040160.1	0.00
AC040977.1	0.00
AC046143.3	0.00
AC046143.6	0.00
AC051642.1	0.00
AC053503.11	0.00
AC053503.2	0.00
AC053503.4	0.00
AC053503.6	0.00
AC055736.1	0.00
AC055764.1	0.00
AC055811.5	0.00
AC060834.2	0.00
AC061961.2	0.00
AC061975.1	0.00
AC061975.10	0.00
AC061975.5	0.00
AC061975.6	0.00
AC061975.7	0.00
AC061975.9	0.00
AC061992.1	0.00
AC062016.1	0.00
AC062016.2	0.00
AC062016.3	0.00
AC062017.1	0.00
AC062022.1	0.00
AC062029.1	0.00
AC063976.1	0.00
AC063976.2	0.00
AC063976.7	0.00
AC063979.1	0.00
AC064836.3	0.00
AC064847.4	0.00
AC064850.4	0.00
AC064852.5	0.00
AC064853.3	0.00
AC064871.3	0.00
AC064874.1	0.00
AC064875.2	0.00
AC066692.3	0.00
AC067940.1	0.00
AC067945.2	0.00
AC067945.3	0.00
AC067945.4	0.00
AC067969.1	0.00
AC067969.2	0.00
AC068039.1	0.00
AC068039.4	0.00
AC068042.1	0.00
AC068044.1	0.00
AC068134.10	0.00
AC068134.5	0.00
AC068134.8	0.00
AC068135.1	0.00
AC068137.11	0.00
AC068137.13	0.00
AC068137.5	0.00
AC068137.8	0.00
AC068491.3	0.00
AC068499.10	0.00
AC068533.7	0.00
AC068535.5	0.00
AC068538.2	0.00
AC068580.6	0.00
AC068620.1	0.00
