geneId	geneSymbol	score	humanScore	mouseScore	fishScore	ppiScore	Candidate Matches		
6389	SDHA	0.88640526	0.88640526	0	0	0.549732432	FALSE		
54949	SDHAF2	0.88640526	0.88640526	0	0	0.55146835	FALSE		
10060	ABCC9	0.884429274	0	0.884429274	0	0.536960244	FALSE		
9424	KCNK6	0.884157913	0	0.884157913	0	0.500539623	FALSE		
146	ADRA1D	0.879913325	0	0.879913325	0	0.502144804	FALSE		
112399	EGLN3	0.877472155	0	0.877472155	0	0.504548736	FALSE		
5020	OXT	0.870633093	0	0.870633093	0	0.526667725	FALSE		
857	CAV1	0.869202136	0.869202136	0.788155246	0	0.520092871	FALSE		
1490	CCN2	0.869202136	0.869202136	0	0	0.514583628	FALSE		
1235	CCR6	0.869202136	0.869202136	0.424099156	0	0.501556425	FALSE		
3106	HLA-B	0.869202136	0.869202136	0	0	0.504463886	FALSE		
3123	HLA-DRB1	0.869202136	0.869202136	0	0	0.50449672	FALSE		
3593	IL12B	0.869202136	0.869202136	0	0	0.504270719	FALSE		
3663	IRF5	0.869202136	0.869202136	0	0	0	FALSE		
6945	MLX	0.869202136	0.869202136	0	0	0	FALSE		
3783	KCNN4	0.866740217	0	0.866740217	0	0.504633255	FALSE		
7057	THBS1	0.860920347	0	0.860920347	0	0.53165859	FALSE		
10335	MRVI1	0.860554009	0	0.860554009	0	0.502738197	FALSE		
2983	GUCY1B1	0.860530396	0	0.860530396	0	0.504361429	FALSE		
10451	VAV3	0.859855648	0	0.859855648	0	0	FALSE		
4862	NPAS2	0.858817592	0	0.858817592	0	0.503026241	FALSE		
10516	FBLN5	0.855652588	0	0.855652588	0	0.51985706	FALSE		
1910	EDNRB	0.855397621	0	0.855397621	0	0	FALSE		
8521	GCM1	0.855397621	0	0.855397621	0	0.500035968	FALSE		
2702	GJA5	0.855397621	0	0.855397621	0	0.50299268	FALSE		
2852	GPER1	0.855397621	0	0.855397621	0	0.501620719	FALSE		
3767	KCNJ11	0.855397621	0	0.855397621	0	0.599494524	FALSE		
3953	LEPR	0.855397621	0.636856314	0.855397621	0	0.502299203	FALSE		
